Item,Department,Value,Last Updated,Description
Total Population,Administration,400000,2021,
Cities,Administration,0,2021,
Municipalities,Administration,1,2021,
Town councils,Administration,0,2021,
Sub-county/Divisions,Administration,9,2021,
Parishes/Wards,Administration,46,2021,
Number of Schools,Education,234,2021,
Pupil-Teacher Ratio in Government Primary Schools,Education,45,2021,
Pupil-Teacher Ratio in Private Primary Schools,Education,56,2022,
Student-Teacher Ratio in Government Secondary Schools,Education,51,2021,
Student-Teacher Ratio in Private Secondary Schools,Education,58,2021,
