district_id,county_id,subcounty_id,parish_id,district,county,year,subcounty,parish,school_name,ownership,gender,grade,value
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division 1,4
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division 1,2
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division 2,10
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division 2,4
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division 3,7
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division 3,8
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division 4,4
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division 4,4
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division U,14
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division U,11
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Male,Division X,4
d102,c101,s101,p123,Kayunga,Bbaale,2022,Galiraya,Galiraya,Galiraya CU Primary School,Government,Female,Division X,5
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division 1,8
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division 1,1
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division 2,25
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division 2,24
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division 3,7
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division 3,7
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division 4,3
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division 4,8
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division U,0
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division U,2
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Male,Division X,2
d102,c101,s101,p125,Kayunga,Bbaale,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,Female,Division X,4
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division 1,0
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Female,Division 1,0
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division 2,2
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Female,Division 2,2
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division 3,1
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Female,Division 3,1
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division 4,1
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Female,Division 4,0
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division U,5
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Female,Division U,4
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Male,Division X,3
d102,c101,s101,p127,Kayunga,Bbaale,2022,Galiraya,Kirasa,Kirasa CU Primary School,Government,Female,Division X,3
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Male,Division 1,0
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Female,Division 1,0
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Male,Division 2,2
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Female,Division 2,0
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Male,Division 3,1
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Female,Division 3,1
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Male,Division 4,4
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Female,Division 4,1
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Male,Division U,8
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Female,Division U,2
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Male,Division X,1
d102,c101,s101,p126,Kayunga,Bbaale,2022,Galiraya,Namayuge,Nakatuli RC Primary School,Government,Female,Division X,0
d102,c101,s101,p124,Kayunga,Bbaale,2022,Galiraya,Namalere,Namalere Primary School,Government,Male,Division 1,3
d102,c101,s101,p124,Kayunga,Bbaale,2022,Galiraya,Namalere,Namalere Primary School,Government,Female,Division 1,9
d102,c101,s101,p124,Kayunga,Bbaale,2022,Galiraya,Namalere,Namalere Primary School,Government,Male,Division 2,24
d102,c101,s101,p124,Kayunga,Bbaale,2022,Galiraya,Namalere,Namalere Primary School,Government,Female,Division 2,32
d102,c101,s101,p124,Kayunga,Bbaale,2022,Galiraya,Namalere,Namalere Primary School,Government,Male,Division 3,0
d102,c101,s101,p124,Kayunga,Bbaale,2022,Galiraya,Namalere,Namalere Primary School,Government,Female,Division 3,0
