district_id,county_id,subcounty_id,district,county,subcounty,school_name,ownership,year,gender,s1,s2,s3,s4,s5,s6,subtotal
d102,c101,s101,Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2019,Boys,30,35,28,24,0,0,117
d102,c101,s101,Kayunga,Bbaale,Galiraya,St Boniface Secondary School Kasokwe,Private,2019,Boys,0,0,0,0,0,0,0
d102,c101,s101,Kayunga,Bbaale,Galiraya,Galiraya Seed Secondary School,Government,2019,Girls,55,40,12,14,0,0,121
d102,c101,s101,Kayunga,Bbaale,Galiraya,St Boniface Secondary School Kasokwe,Private,2019,Girls,0,0,0,0,0,0,0
d102,c101,s102,Kayunga,Bbaale,Bbaale,Bbaale Parents Secondary School,Private,2019,Boys,,,,,,,0
d102,c101,s102,Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2019,Boys,,,,,,,0
d102,c101,s102,Kayunga,Bbaale,Bbaale,Bbaale Parents Secondary School,Private,2019,Girls,,,,,,,0
d102,c101,s102,Kayunga,Bbaale,Bbaale,Bbaale Senior Secondary School,Government,2019,Girls,,,,,,,0
d102,c101,s103,Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2019,Boys,135,139,144,77,0,0,495
d102,c101,s103,Kayunga,Bbaale,Kayonza,Nakyessa Senior Secondary School,Private,2019,Boys,0,0,0,0,0,0,0
d102,c101,s103,Kayunga,Bbaale,Kayonza,Naalinya Irene Ndagire Secondary School,Government,2019,Girls,144,126,124,83,0,0,477
d102,c101,s103,Kayunga,Bbaale,Kayonza,Nakyessa Senior Secondary School,Private,2019,Girls,0,0,0,0,0,0,0
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2019,Boys,78,80,65,41,10,13,287
d102,c101,s104,Kayunga,Bbaale,Kitimbwa,Kitatya Senior Secondary School,Government,2019,Girls,89,72,51,43,2,5,262
d102,c102,s105,Kayunga,Ntenjeru,Busaana,Hope Christian High School,Private,2019,Boys,,,,,,,0
