district_id,county_id,subcounty_id,parish_id,village_id,district,county,subcounty,parish,village,year,school_name,ownership,gender,p1,p2,p3,p4,p5,p6,p7,subtotal,p1_speciall_needs,p2_special_needs,p3_special_needs,p4_special_needs,p5_special_needs,p6_special_needs,p7_special_needs,baby_class,middle_class,top_class,orphans
d102,c101,s101,p123,v177,Kayunga,Bbaale,Galiraya,Galiraya,Galiraya,2020,Galiraya CU Primary School,Government,Boys,44,36,29,22,25,24,26,206,,,,,,,,,,,
d102,c101,s101,p125,v190,Kayunga,Bbaale,Galiraya,Kasokwe,Kasokwe A,2020,Kasokwe CU Primary School,Government,Boys,117,56,45,40,35,31,24,348,,,,,,,,,,,
d102,c101,s101,p127,v203,Kayunga,Bbaale,Galiraya,Kirasa,Kirasa Central,2020,Kirasa CU Primary School,Government,Boys,29,19,17,22,9,8,8,112,,,,,,,,,,,
d102,c101,s101,p127,v204,Kayunga,Bbaale,Galiraya,Kirasa,Kiwenda,2020,Kiwenda Primary School,Government,Boys,71,65,56,48,41,15,10,306,,,,,,,,,,,
d102,c101,s101,p126,v198,Kayunga,Bbaale,Galiraya,Namayuge,Nakatuli,2020,Nakatuli RC Primary School,Government,Boys,72,27,31,24,26,18,14,212,,,,,,,,,,,
d102,c101,s101,p124,v189,Kayunga,Bbaale,Galiraya,Namalere,Namalere,2020,Namalere Primary School,Government,Boys,67,62,64,66,66,55,33,413,,,,,,,,,,,
d102,c101,s101,p126,v197,Kayunga,Bbaale,Galiraya,Namayuge,Nabityanka,2020,Namayuge Primary School,Government,Boys,117,53,30,54,40,45,25,364,,,,,,,,,,,
d102,c101,s101,p128,v210,Kayunga,Bbaale,Galiraya,Ntimba,Kawongo B,2020,Ntimba Primary School,Government,Boys,104,101,98,101,78,70,42,594,,,,,,,,,,,
d102,c101,s101,p126,v200,Kayunga,Bbaale,Galiraya,Namayuge,Sokoso,2020,Sokoso Primary School,Government,Boys,56,48,49,47,45,46,19,310,,,,,,,,,,,
d102,c101,s101,p123,v176,Kayunga,Bbaale,Galiraya,Galiraya,Busungire,2020,St Andrew Busungire RC Primary School,Government,Boys,154,74,48,65,50,50,4,445,,,,,,,,,,,
