district_id,subcounty_id,parish_id,year,subcounty,parish,school_name,ownership,divi_male,divi_female,divi_total,divii_male,divii_female,divii_total,diviii_male,diviii_female,diviii_total,diviv_male,diviv_female,diviv_total,divu_male,divu_female,divu_total,divx_male,divx_female,divx_total,total
d102,s102,p109,2020,Bbaale,Bbaale,Bbaale CU  Primary School,Government,2,0,2,27,20,47,10,12,22,4,4,8,5,5,10,0,0,0,89
d102,s102,p111,2020,Bbaale,Kavule,Gayaza CU Primary School,Government,1,0,1,14,11,25,10,5,15,3,2,5,3,1,4,1,2,3,53
d102,s102,p110,2020,Bbaale,Misanga,Misanga COU Primary School,Government,0,0,0,1,4,5,0,3,3,3,2,5,0,0,0,2,3,5,18
d102,s102,p112,2020,Bbaale,Mugongo,Mugongo Primary School,Government,0,0,0,1,4,5,0,3,3,3,2,5,0,0,0,2,3,5,18
d102,s102,p111,2020,Bbaale,Kavule,Namataala Priamry School,Government,1,0,1,6,3,9,10,6,16,10,9,19,11,9,20,3,4,7,72
d102,s105,p115,2020,Busaana,Kasana,Bugaddu CU Primary School,Government,2,1,3,14,16,30,10,18,28,15,12,27,14,10,24,2,1,3,115
d102,s105,p116,2020,Busaana,Nabuganyi,Bumaali Church Of Uganda Primary School,Government,3,2,5,29,32,61,20,19,39,15,13,28,7,7,14,3,1,4,151
d102,s110,p158,2020,Busaana tc,Kasana ward,Busaana  Parents Primary School,Private,14,7,21,15,9,24,0,0,0,0,0,0,0,0,0,0,0,0,45
d102,s105,p115,2020,Busaana,Kasana,Busaana CU Primary School,Government,3,2,5,29,32,61,19,10,29,13,15,28,4,10,14,3,1,4,141
d102,s105,p115,2020,Busaana,Kasana,Busaana RC Primary School,Government,0,0,0,3,2,5,3,5,8,5,0,5,4,3,7,1,0,1,26
d102,s105,p121,2020,Busaana,Lusenke,Buyungirizi RC Primary School,Government,0,0,0,3,2,5,4,2,6,3,3,6,3,3,6,0,0,0,23
d102,s105,p115,2020,Busaana,Kasana,Kasana Church Of Uganda Primary School,Government,3,1,4,22,24,46,5,6,11,6,13,19,2,4,6,2,2,4,90
d102,s105,p115,2020,Busaana,Kasana,Kasana RC Primary School,Government,0,0,0,1,0,1,0,0,0,3,2,5,5,3,8,0,1,1,15
d102,s105,p121,2020,Busaana,Lusenke,Kibuzi Church Of Uganda Primary School,Government,0,0,0,8,7,15,5,4,9,9,3,12,3,3,6,1,1,2,44
d102,s105,p121,2020,Busaana,Lusenke,Kibuzi RC Primary School,Government,0,0,0,5,2,7,1,0,1,2,2,4,6,4,10,2,1,3,25
d102,s105,p122,2020,Busaana,Nampanyi,Kireku COU Primary School,Government,0,0,0,5,4,9,4,3,7,8,6,14,8,8,16,0,0,0,46
d102,s105,p118,2020,Busaana,Kiwangula,Kiwangula COU Primary School,Government,0,1,1,10,6,16,6,4,10,7,5,12,2,3,5,0,0,0,44
d102,s105,p118,2020,Busaana,Kiwangula,Kiwangula RC Primary School,Government,0,0,0,12,4,16,4,7,11,3,5,8,2,3,5,0,0,0,40
d102,s105,p117,2020,Busaana,Namukuma,Kyayaye RC Primary School,Government,0,0,0,3,2,5,6,4,10,8,4,12,10,16,26,0,0,0,53
d102,s105,p121,2020,Busaana,Lusenke,Kyengera CU Primary School,Government,0,0,0,6,5,11,3,2,5,8,4,12,11,9,20,0,1,1,49
d102,s105,p116,2020,Busaana,Nabuganyi,Nabuganyi COU Primary School,Government,0,0,0,16,10,26,10,13,23,6,4,10,2,2,4,0,0,0,63
d102,s105,p116,2020,Busaana,Nabuganyi,Nabuganyi RC Primary School,Government,0,0,0,6,5,11,8,7,15,5,3,8,0,0,0,0,0,0,34
d102,s105,p122,2020,Busaana,Nampanyi,Nakakandwa COU Primary School,Government,0,0,0,2,1,3,4,2,6,8,7,15,8,6,14,0,1,1,39
d102,s105,p122,2020,Busaana,Nampanyi,Nakakandwa RC Primary School,Government,0,0,0,1,2,3,2,4,6,5,10,15,5,9,14,1,0,1,39
d102,s105,p118,2020,Busaana,Kiwangula,Nakatovu COU Primary School,Government,0,0,0,1,0,1,4,2,6,1,1,2,7,6,13,0,1,1,23
d102,s105,p119,2020,Busaana,Namirembe,Namirembe COU Primary School,Government,0,0,0,2,1,3,7,4,11,5,4,9,6,4,10,0,0,0,33
d102,s105,p120,2020,Busaana,Namusaala,Namusaala COU Primary School,Government,1,0,1,29,20,49,15,14,29,20,12,32,17,30,47,2,3,5,163
d102,s105,p120,2020,Busaana,Namusaala,Namutya COU Primary School,Government,0,0,0,4,3,7,8,7,15,11,9,20,12,10,22,0,0,0,64
d102,s105,p117,2020,Busaana,Namukuma,Nangabo COU Primary School,Government,0,0,0,4,2,6,3,1,4,2,0,2,2,2,4,0,0,0,16
d102,s110,p158,2020,Busaana tc,Kasana ward,Noble Hill Primary School,Private,2,1,3,20,17,37,10,6,16,5,5,10,4,1,5,1,0,1,72
d102,s105,p118,2020,Busaana,Kiwangula,St. Josephs BuyungirIzi RC Primary School,Government,,,0,,,0,,,0,,,0,,,0,,,0,0
d102,s105,p121,2020,Busaana,Lusenke,St. Peter's Primary School Lusenke,Government,0,0,0,4,2,6,2,1,3,3,3,6,3,1,4,0,1,1,20
d102,s101,p123,2020,Galiraya,Galiraya,Galiraya  Primary School,Government,2,1,3,14,13,27,9,9,18,7,7,14,7,4,11,1,0,1,74
d102,s101,p125,2020,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,3,2,5,4,10,14,5,5,10,5,4,9,10,8,18,0,1,1,57
d102,s101,p127,2020,Galiraya,Kirasa,Kirasa Primary School,Government,0,2,2,2,0,2,3,0,3,2,1,3,3,5,8,0,0,0,18
d102,s101,p126,2020,Galiraya,Namayunge,Nakatuli Primary School,Government,0,0,0,0,1,1,1,6,7,1,1,2,3,3,6,0,1,1,17
d102,s101,p124,2020,Galiraya,Namalere,Namalere Primary School,Government,4,3,7,32,28,60,7,6,13,1,0,1,0,0,0,0,0,0,81
d102,s101,p126,2020,Galiraya,Namayunge,Namayuge Primary School,Government,0,0,0,1,6,7,9,17,26,6,2,8,13,7,20,1,1,2,63
d102,s101,p128,2020,Galiraya,Ntimba,Ntimba  Primary School,Government,0,0,0,6,4,10,10,7,17,9,6,15,11,11,22,0,1,1,65
d102,s101,p123,2020,Galiraya,Galiraya,St. Kizito Kidibya Primary School,Government,0,0,0,4,4,8,10,9,19,5,3,8,8,5,13,1,0,1,49
d102,s107,p130,2020,Kangulumira,Kawomya,Bukeeka COU Primary School,Government,9,6,15,20,31,51,10,7,17,3,3,4,0,2,2,1,1,2,91
d102,s112,p165,2020,Kangulumira tc,Kangulumira ward,Catherine Primary School,Private,1,0,1,9,9,18,2,1,3,1,0,6,0,0,0,0,0,0,28
d102,s107,p131,2020,Kangulumira,Seeta-Nyiize,Fountain of Hope Primary School,Private,16,14,30,20,19,39,1,0,1,0,0,1,0,0,0,0,0,0,71
d102,s112,p167,2020,Kangulumira tc,Nakatundu ward,Kamuli UMEA Primary School,Government,9,5,14,30,26,56,13,21,34,12,30,14,7,11,18,2,2,4,140
d102,s112,p165,2020,Kangulumira tc,Kangulumira ward,Kangulumira CU Primary School,Government,,,0,,,0,,,0,,,4,,,0,,,0,4
d102,s112,p165,2020,Kangulumira tc,Kangulumira ward,Kangulumira Muslim Primary School,Government,2,1,3,28,22,50,20,15,35,15,15,22,10,11,21,2,4,6,137
d102,s112,p165,2020,Kangulumira tc,Kangulumira ward,Kangulumira RC Primary School,Government,2,0,2,40,21,61,4,2,6,20,13,27,0,0,0,1,2,3,99
d102,s112,p165,2020,Kangulumira tc,Kangulumira ward,Kasambya Moslem Primary School,Government,0,0,0,4,4,8,2,7,9,2,8,5,2,4,6,0,0,0,28
d102,s112,p166,2020,Kangulumira tc,Kigayaza ward,Kigayaza COU Primary School,Government,0,0,0,8,3,11,2,1,3,2,4,5,4,3,7,1,2,3,29
d102,s107,p129,2020,Kangulumira,Kikwanya,Kimooli UMEA Primary School,Government,1,0,1,15,13,28,10,7,17,12,13,15,10,7,17,0,0,0,78
d102,s107,p130,2020,Kangulumira,Kawomya,Kungu CU Primary School,Government,0,0,0,1,1,2,1,1,2,7,3,12,5,4,9,1,0,1,26
d102,s107,p130,2020,Kangulumira,Kawomya,Maligita Primary School,Government,0,0,0,1,5,6,7,9,16,5,8,14,0,0,0,11,7,18,54
d102,s107,p131,2020,Kangulumira,Seeta-Nyiize,Nakirubi COU Primary School,Private,1,1,2,12,10,22,8,6,14,2,1,12,5,6,11,0,0,0,61
d102,s112,p165,2020,Kangulumira tc,Kangulumira ward,New ABC Devine Foundation,Private,100,79,179,16,15,31,0,0,0,0,0,2,0,0,0,0,1,1,213
d102,s112,p167,2020,Kangulumira tc,Nakatundu ward,Nongo COU Primary School Kangulumira,Government,,,0,,,0,,,0,,,11,,,0,,,0,11
