district_id,county_id,subcounty_id,parish_id,district,county,subcounty,parish,year,school_name,ownership,level,type_of_infrastructure,description,number_of_infrastructure,status
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Desks,,135,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Permanent Classroom Blocks,,5,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Permanent Functional Classrooms,,14,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Temporary Functional Classrooms,,0,
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Pitlatrines,,3,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Toilet Stances Boys,,5,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Toilet Stances Girls,,5,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Staff Houses,Very Old,3,Poor
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Text Books,Majority of the books are fro lower primary,1080,Fair
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Electricity,Umeme,1,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Computers,,0,
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Internet,,0,
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Basic Drinking Water,Borehole,1,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Supportive Equipments for PWDs,,1,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Standard Sports Ground,,1,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Football Ground,,1,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Netball Ground,,1,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Athletics Facilities or equipments,,1,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Children Accessing a School Meal,,30,Good
d102,c101,s102,p109,Kayunga,Bbaale,Bbaale,Bbaale,2022,Bbaale CU Primary School,Government,Primary,Children accessing School Porridge,,96,Good
d102,c101,s102,p111,Kayunga,Bbaale,Bbaale,Kavule,2022,Gayaza CU Primary School,Government,Primary,Desks,,168,Good
d102,c101,s102,p111,Kayunga,Bbaale,Bbaale,Kavule,2022,Gayaza CU Primary School,Government,Primary,Permanent Classroom Blocks,,2,Good
d102,c101,s102,p111,Kayunga,Bbaale,Bbaale,Kavule,2022,Gayaza CU Primary School,Government,Primary,Permanent Functional Classrooms,,9,Good
d102,c101,s102,p111,Kayunga,Bbaale,Bbaale,Kavule,2022,Gayaza CU Primary School,Government,Primary,Temporary Functional Classrooms,,0,
