district_id,subcounty_id,parish_id,year,subcounty,parish,school_name,ownership,number_of_female_teachers,number_of_male_teachers,total
d102,s108,p103,2022,Kayunga,Bukolooto,Bwetyaba RC Primary School,Government,9,4,13
d102,s108,p105,2022,Kayunga,Buyobe,Kanjuki COU Primary School,Government,5,5,10
d102,s108,p105,2022,Kayunga,Buyobe,Kanjuki RC Primary School,Government,5,3,8
d102,s108,p105,2022,Kayunga,Buyobe,Kanjuki UMEA Primary School,Government,9,4,13
d102,s108,p104,2022,Kayunga,Nakaseeta,Kisombwa Primary School,Government,3,3,6
d102,s108,p106,2022,Kayunga,Nsotoka,Kiwooza COU Primary School,Government,5,4,9
d102,s108,p106,2022,Kayunga,Nsotoka,Kiwooza RC Primary School,Government,5,2,7
d102,s108,p105,2022,Kayunga,Buyobe,Kyanya COU Primary School,Government,6,4,10
d102,s108,p101,2022,Kayunga,Bubajjwe,Mugema Primary School,Government,9,4,13
d102,s108,p104,2022,Kayunga,Nakaseeta,Nakaziba COU Primary School,Government,6,4,10
d102,s108,p106,2022,Kayunga,Nsotoka,Namulanda COU Primary School,Government,7,3,10
d102,s108,p106,2022,Kayunga,Nsotoka,Namulanda RC Primary School,Government,5,4,9
d102,s108,p103,2022,Kayunga,Bukolooto,Nawandagala RC Primary School,Government,6,5,11
d102,s109,p148,2022,Kayunga Town Council,Namagabi ward,Kayunga Girls Primary School,Government,8,6,14
d102,s109,p148,2022,Kayunga Town Council,Namagabi ward,Kayunga Mixed Primary School,Government,10,4,14
d102,s109,p148,2022,Kayunga Town Council,Namagabi ward,Namagabi Bishop Brown Primary School,Government,8,4,12
d102,s109,p148,2022,Kayunga Town Council,Namagabi ward,Namagabi UMEA Primary School,Government,9,6,15
d102,s109,p148,2022,Kayunga Town Council,Namagabi ward,Ndeeba COU Primary School,Government,5,5,10
d102,s109,p146,2022,Kayunga Town Council,Ntenjeru ward,St. Andrew Ntenjeru RC Primary School,Government,6,2,8
d102,s109,p146,2022,Kayunga Town Council,Ntenjeru ward,Tente Primary School,Government,7,5,12
d102,s104,p140,2022,Kitimbwa,Namulaba,Mansa Eden Revival Primary School,Government,4,4,8
d102,s104,p144,2022,Kitimbwa,Nakivubo,Bisaka Primary School,Government,3,7,10
d102,s104,p143,2022,Kitimbwa,Nkokonjeru,Bulawula Primary School,Government,1,6,7
d102,s104,p139,2022,Kitimbwa,Kitatya,Kitatya CU  Primary School,Government,4,7,11
d102,s104,p139,2022,Kitimbwa,Kitatya,Kitatya RC Primary School,Government,3,8,11
d102,s113,p170,2022,Kitimbwa Town Council,Wabuyinja ward,Kitimbwa CU Primary School,Government,6,3,9
d102,s113,p170,2022,Kitimbwa Town Council,Wabuyinja ward,Kitimbwa Light SDA Primary School,Government,7,5,12
d102,s113,p170,2022,Kitimbwa Town Council,Wabuyinja ward,Kitimbwa RC Primary School ,Government,6,3,9
d102,s113,p170,2022,Kitimbwa Town Council,Wabuyinja ward,Kitimbwa UMEA Primary School,Government,4,4,8
d102,s104,p142,2022,Kitimbwa,Kyerima,Kyerima UMEA Primary School,Government,7,4,11
d102,s113,p170,2022,Kitimbwa Town Council,Wabuyinja ward,Kyetume High Primary School,Government,3,7,10
d102,s104,p142,2022,Kitimbwa,Kyerima,Nakaseeta COU Primary School,Government,1,6,7
d102,s104,p144,2022,Kitimbwa,Nakivubo,Nakivubo COU Primary School,Government,2,10,12
d102,s104,p144,2022,Kitimbwa,Nakivubo,Nakivubo UMEA Primary School,Government,3,5,8
d102,s104,p142,2022,Kitimbwa,Kyerima,Namabbuga RC Primary School,Government,3,4,7
d102,s104,p140,2022,Kitimbwa,Namulaba,Namulaba COU Primary School,Government,1,4,5
d102,s104,p140,2022,Kitimbwa,Namulaba,Namulaba UMEA Primary School,Government,6,3,9
d102,s104,p142,2022,Kitimbwa,Kyerima,Nanjwenge COU Primary School,Government,3,4,7
d102,s104,p143,2022,Kitimbwa,Nkokonjeru,Nkokonjeru COU Primary School,Government,1,3,4
d102,s104,p143,2022,Kitimbwa,Nkokonjeru,Nkokonjeru RC Primary School,Government,4,5,9
d102,s104,p140,2022,Kitimbwa,Namulaba,Nongo COU Primary School Kitimbwa,Government,5,3,8
d102,s104,p140,2022,Kitimbwa,Namulaba,St. Martins Nongo RC Primary School,Government,0,9,9
d102,s104,p143,2022,Kitimbwa,Nkokonjeru,Tweyagalire RC Primary School,Government,5,4,9
d102,s104,p141,2022,Kitimbwa,Wabwoko,Wabwoko Church Of Uganda Primary School,Government,4,5,9
d102,s104,p142,2022,Kitimbwa,Kyerima,Kyerima CU Primary School,Government,3,8,11
d102,s106,p132,2022,Nazigo,Bukamba,Bukamba Primary School,Government,7,2,9
d102,s106,p135,2022,Nazigo,Katikanyonyi,Katikanyonyi COU Primary School,Government,2,5,7
d102,s106,p133,2022,Nazigo,Kirindi,Kikonyogo Primary School,Government,3,8,11
d102,s106,p137,2022,Nazigo,Kimanya,Kimanya COU Primary School,Government,5,4,9
d102,s106,p137,2022,Nazigo,Kimanya,Kimanya UMEA Primary School,Government,5,3,8
d102,s106,p136,2022,Nazigo,Natteta,Kiribedda CU Primary School,Government,4,4,8
d102,s106,p133,2022,Nazigo,Kirindi,Kirindi RC Primary School,Government,0,8,8
d102,s106,p137,2022,Nazigo,Kimanya,Kisoga RC Primary School,Government,8,2,10
d102,s106,p132,2022,Nazigo,Bukamba,Kiswa RC Primary School,Government,5,3,8
d102,s106,p137,2022,Nazigo,Kimanya,Kiziika  CU Primary School,Government,4,5,9
d102,s106,p138,2022,Nazigo,Nazigo,Kyampisi COU Primary School,Government,4,6,10
d102,s106,p138,2022,Nazigo,Nazigo,Magala RC Primary School,Government,5,2,7
d102,s106,p134,2022,Nazigo,Nsiima,Musiitwa UMEA Primary School,Government,2,7,9
d102,s106,p135,2022,Nazigo,Katikanyonyi,Nakatooke RC Primary School,Government,4,3,7
d102,s106,p136,2022,Nazigo,Natteta,Natteta CU Primary School,Government,7,5,12
d102,s106,p138,2022,Nazigo,Nazigo,Nazigo Demonstration Primary School,Government,6,5,11
d102,s106,p134,2022,Nazigo,Nsiima,Nazigo RC Primary School,Government,11,5,16
d102,s106,p134,2022,Nazigo,Nsiima,Nsiima COU Primary School,Government,3,5,8
d102,s106,p136,2022,Nazigo,Natteta,Wabirongo  Primary School,Government,4,7,11
d102,s106,p133,2022,Nazigo,Kirindi,St. Lwanga Kirindi Primary School,Government,,,
