district_id,subcounty_id,parish_id,year,subcounty,parish,school_name,ownership,number_of_female_teachers,number_of_male_teachers,total
d102,s102,p109,2022,Bbaale,Bbaale,Bbaale CU Primary School,Government,8,10,18
d102,s102,p111,2022,Bbaale,Kavule,Gayaza CU Primary School,Government,6,7,13
d102,s102,p110,2022,Bbaale,Misanga,Misanga COU Primary School,Government,2,6,8
d102,s102,p112,2022,Bbaale,Mugongo,Mugongo Primary School,Government,3,7,10
d102,s102,p111,2022,Bbaale,Kavule,Namataala Primary School,Government,4,5,9
d102,s102,p113,2022,Bbaale,Kokotero,Tangoye parents Primary School,Government,3,5,8
d102,s105,p115,2022,Busaana,Kasana,Bisaka Parents Primary School,Government,2,5,7
d102,s105,p115,2022,Busaana,kasana,Bugaddu CU Primary School,Government,4,5,9
d102,s105,p116,2022,Busaana,Nabuganyi,Bumaali Church Of Uganda Primary School,Government,5,2,7
d102,s105,p116,2022,Busaana,Nabuganyi,Bumali UMEA Primary School,Government,2,4,6
d102,s105,p115,2022,Busaana,Kasana,Busaana CU Primary School,Government,7,3,10
d102,s105,p115,2022,Busaana,Kasana,Busaana RC Primary School,Government,6,4,10
d102,s105,p121,2022,Busaana,Lusenke,Buyungirizi RC Primary School,Government,4,4,8
d102,s105,p115,2022,Busaana,Kasana,Kasana Church Of Uganda Primary School,Government,1,6,7
d102,s105,p115,2022,Busaana,Kasana,Kasana RC Primary School,Government,4,3,7
d102,s105,p118,2022,Busaana,Kiwangula,Kayonjo UMEA Primary School,Government,3,5,8
d102,s105,p121,2022,Busaana,Lusenke,Kibuzi Church Of Uganda Primary School,Government,5,4,9
d102,s105,p121,2022,Busaana,Lusenke,Kibuzi RC Primary School,Government,6,3,9
d102,s105,p122,2022,Busaana,Nampanyi,Kireku COU Primary School,Government,5,7,12
d102,s105,p118,2022,Busaana,Kiwangula,Kiwangula COU Primary School,Government,5,6,11
d102,s105,p118,2022,Busaana,Kiwangula,Kiwangula RC Primary School,Government,3,8,11
d102,s105,p117,2022,Busaana,Namukuma,Kyayaye RC Primary School,Government,3,7,10
d102,s105,p118,2022,Busaana,Lusenke,Kyengera CU Primary School,Government,3,6,9
d102,s105,p116,2022,Busaana,Nabuganyi,Nabuganyi COU Primary School,Government,4,7,11
d102,s105,p116,2022,Busaana,Nabuganyi,Nabuganyi RC Primary School,Government,5,7,12
d102,s105,p116,2022,Busaana,Nampanyi,Nakakandwa COU Primary School,Government,3,3,6
d102,s105,p116,2022,Busaana,Nampanyi,Nakakandwa RC Primary School,Government,4,3,7
d102,s105,p118,2022,Busaana,Kiwangula,Nakatovu COU Primary School,Government,2,6,8
d102,s105,p119,2022,Busaana,Namirembe,Namirembe COU Primary School,Government,4,4,8
d102,s105,p119,2022,Busaana,Namirembe,Namirembe Public Primary School,Government,5,1,6
d102,s105,p120,2022,Busaana,Namusaala,Namusaala COU Primary School,Government,3,8,11
d102,s105,p120,2022,Busaana,Namusaala,Namusaala RC Primary School,Government,2,4,6
d102,s105,p120,2022,Busaana,Namusaala,Namutya COU Primary School,Government,1,6,7
d102,s105,p117,2022,Busaana,Namukuma,Nangabo COU Primary School,Government,3,6,9
d102,s105,p118,2022,Busaana,Kiwangula,Ngeye COU Primary School,Government,3,5,8
d102,s105,p121,2022,Busaana,Lusenke,St. Peter's Primary School Lusenke,Government,5,3,8
d102,s101,p123,2022,Galiraya,Galiraya,Galiraya  Primary School,Government,2,6,8
d102,s101,p125,2022,Galiraya,Kasokwe,Kasokwe CU Primary School,Government,3,6,9
d102,s101,p127,2022,Galiraya,Kirasa,Kirasa Primary School,Government,2,5,7
d102,s101,p127,2022,Galiraya,Kirasa,Kiwenda Primary School,Government,3,6,9
d102,s101,p126,2022,Galiraya,Namayuge,Nakatuli Primary School,Government,2,4,6
d102,s101,p124,2022,Galiraya,Namalere,Namalere Primary School,Government,4,8,12
d102,s101,p126,2022,Galiraya,Namayuge,Namayuge Primary School,Government,1,7,8
d102,s101,p128,2022,Galiraya,Ntimba,Ntimba  Primary School,Government,0,6,6
d102,s101,p126,2022,Galiraya,Namayuge,Sokoso Primary School,Government,1,6,7
d102,s101,p123,2022,Galiraya,Galiraya,St. Andrew Busungire RC Primary School,Government,2,6,8
d102,s101,p123,2022,Galiraya,Galiraya,St. Kizito Kidibya Primary School,Government,2,7,9
d102,s107,p131,2022,Kangulumira,Seeta Nyiize,Bukasa CU Primary School,Government,6,2,8
d102,s107,p130,2022,Kangulumira,Kawomya,Bukeeka COU Primary School,Government,10,5,15
d102,s112,p167,2022,Kangulumira Town Council,Nakatundu ward,Kamuli COU Primary School,Government,6,3,9
d102,s112,p167,2022,Kangulumira Town Council,Nakatundu ward,Kamuli UMEA Primary School,Government,6,6,12
d102,s112,p165,2022,Kangulumira Town Council,Kangulumira ward,Kangulumira CU Primary School,Government,10,6,16
d102,s112,p165,2022,Kangulumira Town Council,Kangulumira ward,Kangulumira Muslim Primary School,Government,7,3,10
d102,s112,p165,2022,Kangulumira Town Council,Kangulumira ward,Kangulumira RC Primary School,Government,10,5,15
d102,s112,p165,2022,Kangulumira Town Council,Kangulumira ward,Kasambya Moslem Primary School,Government,4,4,8
d102,s112,p166,2022,Kangulumira Town Council,Kigayaza ward,Kigayaza COU Primary School,Government,4,5,9
d102,s107,p129,2022,Kangulumira,Kikwanya,Kikwanya COU Primary School,Government,5,3,8
d102,s107,p129,2022,Kangulumira,Kikwanya,Kimooli UMEA Primary School,Government,6,3,9
d102,s107,p130,2022,Kangulumira,Kawomya,Kungu CU Primary School,Government,5,3,8
d102,s107,p130,2022,Kangulumira,Kawomya,Maligita Primary School,Government,6,2,8
d102,s107,p131,2022,Kangulumira,Seeta Nyiize,Nakirubi COU Primary School,Government,7,3,10
d102,s112,p167,2022,Kangulumira Town Council,Nakatundu ward,Nongo COU Primary School Kangulumira,Government,5,3,8
d102,s107,p131,2022,Kangulumira,SeetaNyiize,Nyiize COU Primary School,Government,5,7,12
d102,s107,p131,2022,Kangulumira,Seeta Nyiize,Nyiize RC Primary School,Government,8,4,12
d102,s112,p165,2022,Kangulumira Town Council,Kangulumira ward,Soona RC Primary School,Government,5,2,7
d102,s103,p151,2022,kayonza,Kamusabi,Bugatto RC Primary School,Government,2,7,9
d102,s103,p153,2022,kayonza,Kitwe,Bugoma Primary School,Government,4,4,8
d102,s103,p151,2022,kayonza,Kamusabi,Bugonya COU Primary School,Government,5,2,7
d102,s103,p157,2022,kayonza,Namizo,Bujwaya CU Primary School,Government,0,6,6
d102,s103,p153,2022,kayonza,Kitwe,Busabira Parents Primary School,Government,2,6,8
d102,s103,p149,2022,kayonza,Balisanga,Bwalala Primary School,Government,2,6,8
d102,s103,p155,2022,kayonza,Nakyesanja,Kakiika Parents Primary School,Government,3,6,9
d102,s103,p151,2022,kayonza,Kamusabi,Kamusabi Primary School,Government,2,4,6
d102,s103,p152,2022,kayonza,kanywero,Kanywero Public Primary School,Government,3,5,8
d102,s103,p156,2022,kayonza,Namaliri,Kawolokota COU Primary School,Government,2,5,7
d102,s103,p156,2022,kayonza,Namaliri,Kawolokota RC Primary School,Government,2,6,8
d102,s103,p156,2022,kayonza,Namaliri,Kayonza Primary School,Government,4,5,9
d102,s103,p155,2022,kayonza,Nakyesanja,Kirimantoogo Primary School,Government,4,4,8
d102,s103,p149,2022,kayonza,Balisanga,Kirisiru COU Primary School,Government,4,3,7
d102,s103,p153,2022,kayonza,kitwe,Kitwe RC Primary School,Government,3,8,11
d102,s103,p157,2022,kayonza,Namizo,Kyebuye RC Primary School,Government,3,4,7
d102,s103,p156,2022,kayonza,Namaliri,Lugasa Primary School,Government,5,8,13
d102,s103,p151,2022,kayonza,kamusabi,Lukonda Public Primary School,Government,2,5,7
d102,s103,p152,2022,kayonza,Kanywero,Lwabyata Parents Primary School,Government,3,6,9
d102,s103,p154,2022,kayonza,nakyesa,Nakyessa Bright Future Primary School,Government,5,4,9
d102,s103,p154,2022,kayonza,nakyesa,Nakyessa Church Of Uganda Primary School,Government,2,7,9
d102,s103,p154,2022,kayonza,nakyesa,Nakyessa Moslem Primary School,Government,7,4,11
d102,s103,p154,2022,kayonza,Nakyesa,Namatogonya COU  Primary School,Government,2,5,7
d102,s103,p157,2022,kayonza,Namizo,Namavundu Primary School,Government,3,6,9
d102,s103,p157,2022,kayonza,Namizo,Namiizo UMEA Primary School,Government,2,7,9
d102,s103,p157,2022,kayonza,Namizo,Nawansama UMEA Koran Primary School,Government,2,5,7
d102,s103,p150,2022,kayonza,kafumba,Nyondo RC Primary School,Government,2,6,8
d102,s103,p156,2022,kayonza,Namaliri,St. Jude Kayonza RC Primary School,Government,2,2,4
d102,s103,p152,2022,kayonza,kanywero,Tindyani  Primary School,Government,2,7,9
d102,s103,p152,2022,kayonza,Kanywero,Wabunyonyi COU Primary School ,Government,1,6,7
d102,s103,p152,2022,kayonza,Kanywero,Wunga Primary School,Government,3,7,10
d102,s108,p102,2022,Kayunga,Busaale,Ssekagya Islamic Primary School,Government,7,4,11
d102,s108,p103,2022,Kayunga,Bukolooto,Ssezibwa COU Primary School,Government,4,3,7
d102,s108,p107,2022,Kayunga,Bukujju,Bukujju UMEA Primary School,Government,2,7,9
d102,s108,p102,2022,Kayunga,Busaale,Busaale COU Primary School,Government,6,3,9
d102,s108,p102,2022,Kayunga,Busaale,Busaale RC Primary School,Government,4,3,7
d102,s108,p105,2022,Kayunga,Buyobe,Buwungiro Primary School,Government,4,5,9
