district_id,county_id,subcounty_id,parish_id,district,county,subcounty,parish,level,ownership,school_name,gps_coordinates
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,Primary,Government,Ikoba Boys Primary School,"1.5931448687430334, 31.64886470781923"
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,Primary,Government,Ikoba Girls Primary School,"1.595359488700697, 31.643280386984934"
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,Primary,Government,Isagara Primary School,
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,Primary,Government,Kichandi Primary School,"1.6007932368197078, 31.70004839500018"
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,Primary,Government,Kihoole Primary School,"1.57763237905131, 31.63565355245786"
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,Primary,Government,Kiina Primary School,"1.601457524441458, 31.659392209167965"
d101,c102,s101,p104,Masindi,Bujenje,Bikonzi,Kikube,Primary,Government,Kikuube Primary School,"1.5547226182664342, 31.66149454983712"
d101,c102,s101,p104,Masindi,Bujenje,Bikonzi,Kikube,Primary,Government,Kinywamurara Primary School,"1.565779276844976, 31.68943231926802"
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,Primary,Government,Kitonozi Primary School,
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,Primary,Government,Masindi Centre For The Handcapped,"1.5925148934633881, 31.659302638003908"
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,Primary,Government,Rukondwa Primary School,"1.6238172492995777, 31.6869199245118"
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,Primary,Private,Bright Care Primary School,
d101,c102,s101,p103,Masindi,Bujenje,Bikonzi,Kitonozi,Primary,Private,Alinda Primary School,"1.6311526544052077, 31.6503307337772"
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,Primary,Private,Lords Will Primary School,"1.5748824855650752, 31.669056821120883 "
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,Primary,Private,Royal Nursery And Primary School,
d101,c102,s111,p107,Masindi,Bujenje,Budongo,Nyabyeya,Primary,Government,Budongo Saw Mill Primary School,"1.6958523061696527, 31.5377632569025 "
d101,c102,s111,p105,Masindi,Bujenje,Budongo,Bwinamira,Primary,Government,Bulyango Public Primary School,"1.6229349648256257, 31.533879909002717"
d101,c102,s111,p107,Masindi,Bujenje,Budongo,Nyabyeya,Primary,Private,CMU Kindergarten And Primary School,
d101,c102,s111,p108,Masindi,Bujenje,Budongo,Karongo,Primary,Government,Karongo Primary School,"1.6731945167118387, 31.512188883588248"
d101,c102,s111,p106,Masindi,Bujenje,Budongo,Kasongoire,Primary,Government,Kasongoire Primary School,"1.5836132524668352, 31.555645325634732"
d101,c102,s111,p108,Masindi,Bujenje,Budongo,Karongo,Primary,Private,Nyabigoma Primary School,
d101,c102,s111,p107,Masindi,Bujenje,Budongo,Nyabyeya,Primary,Government,Nyabyeya Primary School,"1.69332,31.53974"
d101,c102,s112,p110,Masindi,Bujenje,Bulima Town Council,Kisalizi Ward,Primary,Government,Kisalizi Primary School,"1.5261128165493012, 31.503012923521304"
d101,c102,s112,p111,Masindi,Bujenje,Bulima Town Council,Marongo Ward,Primary,Government,Marongo Primary School,"0.91369, 31.01783"
d101,c102,s112,p111,Masindi,Bujenje,Bulima Town Council,Marongo Ward,Primary,Private,Marongo Mother Care Primary School,"1.4734257707811467, 31.550956070391113"
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,Primary,Government,Bulima Primary School,"1.51097, 31.53991"
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,Primary,Private,Bulima Valley Primary School,"1.5134890772705072, 31.526908632208684"
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Government,Byerima Primary School,"1.4883207888406833, 31.60533986660303"
d101,c102,s113,p114,Masindi,Bujenje,Bwijanga,Ntoma,Primary,Private,Christ The Rock Primary School,
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,Primary,Private,Exodus Nursery And Primary School,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Government,Isimba Primary School,"1.5067021,31.5954244"
d101,c102,s113,p114,Masindi,Bujenje,Bwijanga,Ntoma,Primary,Private,Jowante Junior Academy,
d101,c102,s113,p114,Masindi,Bujenje,Bwijanga,Ntoma,Primary,Government,Kihagani Primary School,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Private,Kikingura Bright Junior School,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Private,Kikingura Progrossive Primary School,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Government,Kikingura Primary School,"1.4871231268351846,31.648384681140083"
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Government,Kitamba Primary School,"1.523400174631895, 31.597264526515257"
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Government,Mihembero Primary School,"1.5268850237160019, 31.65057654752598"
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Government,Miramura Primary School,"1.4299286424226916, 31.595894373199695"
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,Primary,Government,Murro Primary School,"1.5457456871928452, 31.603744201016468"
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,Primary,Private,New Hope Primary School,"1.5061119484630203, 31.529618390910503"
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Private,New Star Parents Primary School,
d101,c102,s113,p114,Masindi,Bujenje,Bwijanga,Ntoma,Primary,Private,Ntooma Model Primary School,
d101,c102,s113,p114,Masindi,Bujenje,Bwijanga,Ntoma,Primary,Government,Ntooma Primary School,
d101,c102,s113,p114,Masindi,Bujenje,Bwijanga,Ntoma,Primary,Government,Nyabubale Primary School,"1.43348694130141, 31.701978073041083"
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,Primary,Government,St Kizito Murro Primary School,"1.5451343762700904, 31.610139581937364"
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,Primary,Private,Sun Light Primary School,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,Primary,Private,Bwijanga Primary School,"1.5360963115161856, 31.586598916811237"
d101,c102,s113,p114,Masindi,Bujenje,Bwijanga,Ntoma,Primary,Private,Jowante Junior School,
d101,c102,s102,p119,Masindi,Bujenje,Kabango Town Council,Kabango Ward,Primary,Government,Kabango Primary School,
d101,c102,s102,p118,Masindi,Bujenje,Kabango Town Council,Kinyara Sugar Ltd,Primary,Government,Kinyara Sugar Works Primary School,"1.6314832494053446, 31.602108356342896"
d101,c102,s102,p119,Masindi,Bujenje,Kabango Town Council,Kabango Ward,Primary,Private,Ebenezer Christian School,
d101,c102,s102,p119,Masindi,Bujenje,Kabango Town Council,Kabango Ward,Primary,Private,Montessori N And Primary School,"1.6529126087556212, 31.584542183432788"
d101,c102,s102,p119,Masindi,Bujenje,Kabango Town Council,Kabango Ward,Primary,Private,St Simon Primary School,
d101,c102,s102,p119,Masindi,Bujenje,Kabango Town Council,Kabango Ward,Primary,Private,Success Primary School,
d101,c102,s102,p119,Masindi,Bujenje,Kabango Town Council,Kabango Ward,Primary,Private,Top Care Primary School,"1.654926154325003, 31.58399552112658"
d101,c101,s103,p127,Masindi,Buruli,Kijunjubwa,Miduma,Primary,Government,Miduuma Primary School,"1.3965684230969315, 31.79756104479679"
d101,c101,s103,p128,Masindi,Buruli,Kijunjubwa,Kijunjubwa,Primary,Private,Arise And Prosper Primary School,
