district_id,county_id,subcounty_id,parish_id,district,county,subcounty,parish,type_of_animal,year,local_cattle,cross_breed_cattle,exotic_cattle,local_goats,cross_breed_goats,exotic_goats,local_sheep,cross_breed_sheep,exotic_sheep,local_pigs,cross_breed_pigs,exotic_pigs,local_chicken,cross_breed_chicken,exotic_chicken,ducks,turkeys,rabbits
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2014,183,162,296,316,214,136,68,,56,9314,400,6973,8234,6803,2621,,820,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2014,5004,948,649,9626,802,245,2827,,,11838,,4275,83670,49340,4979,,3783,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2014,6075,3597,695,7804,1305,610,1819,,,4288,276,594,10410,43073,3130,,456,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2014,952,491,1087,3401,821,627,415,,,612,,722,28096,14560,6750,,95,
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2015,4758,1504,912,39810,1328,213,1821,,,6120,,4453,1678,17644,63000,,545,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2015,51634,4564,1943,8915,5578,394,4537,,,12965,,6986,31298,53471,12741,,967,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2015,1398,3675,18546,8785,2889,5436,4397,,,1367,,2590,4958,14962,31983,,4561,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2015,31221,3496,1367,61369,78572,1239,4752,,,1420,,46730,72251,13654,6136,,692,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2015,1298,3274,196,42795,14240,518,3975,,,1035,,4936,89846,,8352,,679,
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2015,183,162,296,316,214,136,68,,56,9314,400,6973,8234,6803,2621,,820,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2015,5004,948,649,9626,802,245,2827,,,11838,,4275,83670,49340,4979,,3783,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2015,6075,3597,695,7804,1305,610,1819,,,4288,276,594,10410,43073,3130,,456,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2015,952,491,1087,3401,821,627,415,,,612,,722,28096,14560,6750,,95,
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2016,4758,1504,912,39810,1328,213,1821,,,6120,,4453,1678,17644,63000,,545,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2016,51634,4564,1943,8915,5578,394,4537,,,12965,,6986,31298,53471,12741,,967,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2016,1398,3675,18546,8785,2889,5436,4397,,,1367,,2590,4958,14962,31983,,4561,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2016,31221,3496,1367,61369,78572,1239,4752,,,1420,,46730,72251,13654,6136,,692,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2016,1298,3274,196,42795,14240,518,3975,,,1035,,4936,89846,,8352,,679,
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2016,183,162,296,316,214,136,68,,56,9314,400,6973,8234,6803,2621,,820,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2016,5004,948,649,9626,802,245,2827,,,11838,,4275,83670,49340,4979,,3783,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2016,6075,3597,695,7804,1305,610,1819,,,4288,276,594,10410,43073,3130,,456,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2016,952,491,1087,3401,821,627,415,,,612,,722,28096,14560,6750,,95,
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2017,4758,1504,912,39810,1328,213,1821,,,6120,,4453,1678,17644,63000,,545,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2017,51634,4564,1943,8915,5578,394,4537,,,12965,,6986,31298,53471,12741,,967,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2017,1398,3675,18546,8785,2889,5436,4397,,,1367,,2590,4958,14962,31983,,4561,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2017,31221,3496,1367,61369,78572,1239,4752,,,1420,,46730,72251,13654,6136,,692,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2017,1298,3274,196,42795,14240,518,3975,,,1035,,4936,89846,,8352,,679,
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2017,183,162,296,316,214,136,68,,56,9314,400,6973,8234,6803,2621,,820,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2017,5004,948,649,9626,802,245,2827,,,11838,,4275,83670,49340,4979,,3783,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2017,6075,3597,695,7804,1305,610,1819,,,4288,276,594,10410,43073,3130,,456,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2017,952,491,1087,3401,821,627,415,,,612,,722,28096,14560,6750,,95,
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2018,4758,1504,912,41351,,,1821,,,10573,,,133516,,,4723,220,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2018,42433,4564,1943,12887,,,4537,,,19951,,,158470,,,5566,261,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2018,73472,3675,1398,19110,,,5397,,,3957,,,92973,,,3267,153,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2018,31221,3496,1367,141180,,,4752,,,48750,,,149362,,,5117,245,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2018,1298,3274,196,57553,,,3975,,,5971,,,159293,,,5511,262,
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2018,753,162,296,686,,,68,,,16687,,,29343,,,1181,48,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2018,3273,948,649,10673,,,2827,,,16113,,,226170,,,7872,372,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2018,1314,49,1087,4849,,,415,,,5158,,,91901,,,3149,151,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2018,6075,3597,695,9719,,,1819,,,1334,,,79898,,,2755,131,
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2019,526,72,21,2042,331,96,73,,,2000,267,91,987,513,7000,,56,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2019,59889,4680,1060,1214,641,217,537,,,3065,,677,37792,53467,13846,,262,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2019,20797,5000,7800,8895,2889,5388,397,,,1367,,2982,6058,1508,4013,,53,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2019,12000,3593,967,61961,772,239,4752,,,1420,,46730,72251,13654,6136,,292,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2019,1500,1284,213,2631,1205,98,300,,,1546,,5136,90446,,9352,,164,
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2019,250,26,83,400,60,47,100,0,0,120,0,20,300,315,1000,,35,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2019,5034,948,521,9826,802,275,2827,,,11838,,4279,83770,49340,4979,,533,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2019,1000,515,800,400,0,0,100,0,0,300,0,200,1000,0,2000,,0,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2019,1452,491,1197,3501,821,627,415,,,612,,722,28096,14660,6750,,78,
