district_id,county_id,subcounty_id,parish_id,district,county,subcounty,parish,type_of_animal,year,local_cattle,cross_breed_cattle,exotic_cattle,local_goats,cross_breed_goats,exotic_goats,local_sheep,cross_breed_sheep,exotic_sheep,local_pigs,cross_breed_pigs,exotic_pigs,local_chicken,cross_breed_chicken,exotic_chicken,ducks,turkeys,rabbits
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2011,793,163,54,26540,944,22,1481,,,4113,,2780,73273,4811,2061,,345,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2011,39692,2098,155,35931,866,55,2714,,,6268,,4100,23604,2249,6912,,573,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2011,80566,1086,916,2488,514,282,1935,,,1020,,830,25568,6393,1900,,27,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2011,10407,1446,97,22346,414,110,2947,,,7114,,2750,45027,7500,3200,,364,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2011,8731,1893,15,22577,866,55,2947,,,7608,,3730,51849,,44885,,192,
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2011,88,58,106,199,87,16,84,,,369,247,118,67703,42830,13817,,383,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2011,2502,443,309,5110,471,22,2419,,,6109,,3800,64261,29024,2766,,192,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2011,2307,1635,156,4878,1072,248,1364,,,3898,1005,196,74355,20775,1735,,230,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2011,524,208,42,1730,142,35,450,,,440,,380,17000,9100,4500,,74,
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2012,4758,1504,912,39810,1328,213,1821,,,6120,,4453,1678,17644,63000,,545,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2012,51634,4564,1943,8915,5578,394,4537,,,12965,,6986,31298,53471,12741,,967,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2012,1398,3675,18546,8785,2889,5436,4397,,,1367,,2590,4958,14962,31983,,4561,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2012,31221,3496,1367,61369,78572,1239,4752,,,1420,,46730,72251,13654,6136,,692,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2012,1298,3274,196,42795,14240,518,3975,,,1035,,4936,89846,,8352,,679,
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2012,183,162,296,316,214,136,68,,56,9314,400,6973,8234,6803,2621,,820,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2012,5004,948,649,9626,802,245,2827,,,11838,,4275,83670,49340,4979,,3783,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2012,6075,3597,695,7804,1305,610,1819,,,4288,276,594,10410,43073,3130,,456,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2012,952,491,1087,3401,821,627,415,,,612,,722,28096,14560,6750,,95,
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2013,4758,1504,912,39810,1328,213,1821,,,6120,,4453,1678,17644,63000,,545,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2013,51634,4564,1943,8915,5578,394,4537,,,12965,,6986,31298,53471,12741,,967,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2013,1398,3675,18546,8785,2889,5436,4397,,,1367,,2590,4958,14962,31983,,4561,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2013,31221,3496,1367,61369,78572,1239,4752,,,1420,,46730,72251,13654,6136,,692,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2013,1298,3274,196,42795,14240,518,3975,,,1035,,4936,89846,,8352,,679,
 d101,c103,s115,,Masindi,Masindi Municipal Council,Central Division,,Priority livestock,2013,183,162,296,316,214,136,68,,56,9314,400,6973,8234,6803,2621,,820,
 d101,c103,s116,,Masindi,Masindi Municipal Council,Karujubu Division,,Priority livestock,2013,5004,948,649,9626,802,245,2827,,,11838,,4275,83670,49340,4979,,3783,
 d101,c103,s118,,Masindi,Masindi Municipal Council,Nyangahya Division,,Priority livestock,2013,6075,3597,695,7804,1305,610,1819,,,4288,276,594,10410,43073,3130,,456,
 d101,c103,s117,,Masindi,Masindi Municipal Council,Kigulya Division,,Priority livestock,2013,952,491,1087,3401,821,627,415,,,612,,722,28096,14560,6750,,95,
 d101,c102,s111,,Masindi,Bujenje,Budongo,,Priority livestock,2014,4758,1504,912,39810,1328,213,1821,,,6120,,4453,1678,17644,63000,,545,
 d101,c102,s113,,Masindi,Bujenje,Bwijanga,,Priority livestock,2014,51634,4564,1943,8915,5578,394,4537,,,12965,,6986,31298,53471,12741,,967,
 d101,c101,s104,,Masindi,Buruli,Kimengo,,Priority livestock,2014,1398,3675,18546,8785,2889,5436,4397,,,1367,,2590,4958,14962,31983,,4561,
 d101,c101,s109,,Masindi,Buruli,Miirya,,Priority livestock,2014,31221,3496,1367,61369,78572,1239,4752,,,1420,,46730,72251,13654,6136,,692,
 d101,c101,s110,,Masindi,Buruli,Pakanyi,,Priority livestock,2014,1298,3274,196,42795,14240,518,3975,,,1035,,4936,89846,,8352,,679,
