district_id,county_id,subcounty_id,parish_id,district,county,subcounty,parish,year,school_name,ownership,divi_male,divi_female,divi_total,divii_male,divii_female,divii_total,diviii_male,diviii_female,diviii_total,diviv_male,diviv_female,diviv_total,divu_male,divu_female,divu_total,divx_male,divx_female,divx_total,absentees,total_registered,total_sat,best_aggregates
d101,c101,s109,p145,Masindi,Buruli,Miirya,Isimba,2020,Walyoba Brilliant Primary School,Private,7,10,17,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,,,27,
d101,c102,s102,p118,Masindi,Bujenje,Kabango Town Council,Kinyara Sugar Ltd,2020,Kinyara Sugar Works Primary School,Government,25,7,32,60,57,117,0,4,4,0,0,0,0,0,0,0,0,0,,,153,
d101,c102,s102,p119,Masindi,Bujenje,Kabango Town Council,Kabango Ward,2020,Ebenezer Christian School,Private,2,5,7,6,11,17,0,0,0,0,0,0,0,0,0,0,1,1,,,25,
d101,c101,s107,p143,Masindi,Buruli,Labongo,Kihonda,2020,Walyoba Primary School,Government,7,5,12,12,23,35,3,0,3,1,0,1,0,0,0,0,0,0,,,51,
d101,c101,s103,p127,Masindi,Buruli,Kijunjubwa,Miduma,2020,Kaikuku Community Primary School,Private,0,3,3,8,12,20,0,1,1,0,0,0,0,0,0,0,0,0,,,24,
d101,c101,s106,p139,Masindi,Buruli,Kyatiri Town Council,Kyatiri East Ward,2020,Blessed Damian Primary School,Private,7,4,11,24,23,47,1,5,6,0,0,0,0,1,1,0,0,0,,,65,
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,2020,Bulima Valley Primary School,Private,3,1,4,14,14,28,0,3,3,0,0,0,0,0,0,0,0,0,,,35,
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,2020,Isagara Primary School,Government,2,0,2,21,20,41,0,1,1,0,0,0,0,0,0,0,0,0,,,44,
d101,c102,s102,p119,Masindi,Bujenje,Kabango Town Council,Kabango Ward,2020,Kabango Primary School,Government,2,1,3,39,32,71,4,3,7,1,0,1,0,0,0,0,0,0,,,82,
d101,c101,s105,p135,Masindi,Buruli,Kiruli,Kiruli,2020,Kitanyata Primary School,Government,0,1,1,19,39,58,2,2,4,0,0,0,0,0,0,0,2,2,,,65,
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2020,Bokwe Primary School,Government,1,1,2,15,22,37,2,6,8,0,1,1,0,1,1,0,0,0,,,49,
d101,c101,s109,p144,Masindi,Buruli,Miirya,Bigando,2020,Kinuuma Primary School,Government,0,1,1,15,17,32,3,4,7,0,3,3,0,0,0,0,0,0,,,43,
d101,c102,s111,p107,Masindi,Bujenje,Budongo,Nyabyeya,2020,Nyabyeya Primary School,Government,1,0,1,26,18,44,4,12,16,0,1,1,0,1,1,0,0,0,,,63,
d101,c101,s109,p146,Masindi,Buruli,Miirya,Kiguulya,2020,Kinumi Primary School,Government,4,1,5,23,18,41,6,10,16,1,5,6,0,0,0,0,0,0,,,68,
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2020,St Paul Primary School Pakanyi,Government,0,2,2,15,13,28,5,6,11,1,1,2,0,1,1,0,0,0,,,44,
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,2020,Bulima Primary School,Government,2,1,3,37,51,88,8,19,27,1,3,4,3,2,5,0,0,0,,,127,
d101,c102,s108,p150,Masindi,Bujenje,Nyantonzi,Nyantonzi,2020,Nyantonzi Primary School,Government,1,1,2,9,10,19,6,7,13,0,1,1,0,0,0,0,0,0,,,35,
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,2020,Rukondwa Primary School,Government,1,0,1,5,7,12,2,3,5,1,1,2,0,0,0,0,0,0,,,20,
d101,c102,s113,p114,Masindi,Bujenje,Bwijanga,Ntoma,2020,Ntooma Primary School,Government,0,0,0,18,25,43,5,5,10,1,4,4,0,1,1,1,0,1,,,59,
d101,c101,s104,p134,Masindi,Buruli,Kimengo,Kibangya,2020,Kayera Primary School,Government,5,3,8,14,15,29,6,14,20,0,3,3,0,2,2,1,0,1,,,63,
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,2020,Masindi Centre For The Handcapped,Government,0,0,0,8,13,21,2,5,7,2,2,4,0,0,0,0,0,0,,,32,
d101,c101,s109,p145,Masindi,Buruli,Miirya,Isimba,2020,Kyabaswa Primary School,Government,0,0,0,5,5,10,4,2,6,1,0,1,0,0,0,0,0,0,,,17,
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,2020,Kiina Primary School,Government,0,0,0,11,14,25,7,5,12,1,3,4,0,0,0,0,0,0,,,41,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,2020,Kikingura Primary School,Government,2,0,2,25,27,52,2,12,14,4,4,8,2,2,4,0,0,0,,,80,
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,2020,Kitonozi Primary School,Government,0,0,0,13,13,26,6,5,11,2,4,6,0,1,1,0,0,0,,,44,
d101,c102,s111,p106,Masindi,Bujenje,Budongo,Kasongoire,2020,Kasongoire Primary School,Government,0,0,0,3,5,8,5,1,6,1,1,2,0,0,0,0,0,0,,,16,
d101,c101,s109,p144,Masindi,Buruli,Miirya,Bigando,2020,Kahaara Primary School,Government,0,0,0,5,3,8,3,7,10,2,0,2,0,0,0,0,0,0,,,20,
d101,c101,s104,p133,Masindi,Buruli,Kimengo,Kimengo,2020,Kimengo Primary School,Government,1,0,1,16,22,38,4,7,11,2,5,7,5,1,6,0,1,1,,,64,
d101,c101,s103,p127,Masindi,Buruli,Kijunjubwa,Miduma,2020,Miduuma Primary School,Government,1,1,2,14,20,34,8,9,17,3,8,11,2,1,3,0,1,1,,,68,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,2020,Isimba Primary School,Government,0,0,0,4,4,8,0,3,3,2,2,4,0,0,0,0,0,0,,,15,
d101,c101,s103,p128,Masindi,Buruli,Kijunjubwa,Kijunjubwa,2020,Kijunjubwa Primary School,Government,3,2,5,28,25,53,12,13,25,3,15,18,2,5,7,1,1,2,,,110,
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2020,Waiga Primary School,Government,0,0,0,6,1,7,7,11,18,0,1,1,0,0,0,0,0,0,,,26,
d101,c101,s106,p139,Masindi,Buruli,Kyatiri Town Council,Kyatiri East Ward,2020,Kyatiri Primary School,Government,0,0,0,21,10,31,17,13,30,4,4,8,0,4,4,0,0,0,,,73,
d101,c102,s108,p151,Masindi,Bujenje,Nyantonzi,Kimanya,2020,Kimanya Primary School,Government,0,0,0,3,4,7,9,2,11,0,1,1,0,1,1,0,0,0,,,20,
d101,c101,s105,p136,Masindi,Buruli,Kiruli,Katuugo,2020,Kisindizi II Primary School,Government,0,0,0,5,4,9,3,4,7,2,3,5,0,0,0,0,0,0,,,21,
d101,c102,s112,p111,Masindi,Bujenje,Bulima Town Council,Marongo Ward,2020,Marongo Primary School,Government,2,0,2,9,8,17,12,10,22,2,3,5,2,2,4,0,1,0,,,50,
d101,c101,s110,p157,Masindi,Buruli,Pakanyi,Kyakamese East,2020,Nyakatoogo Primary School,Government,0,0,0,10,11,21,1,4,5,1,3,4,0,4,4,0,2,2,,,36,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,2020,Mihembero Primary School,Government,1,1,2,5,7,12,5,12,17,2,3,5,2,0,2,1,0,1,,,39,
d101,c102,s111,p105,Masindi,Bujenje,Budongo,Bwinamira,2020,Bulyango Public Primary School,Government,1,0,1,10,6,16,4,6,10,5,2,7,1,0,1,2,1,3,,,38,
d101,c101,s107,p143,Masindi,Buruli,Labongo,Kihonda,2020,Kilanyi Primary School,Government,1,0,1,13,14,27,6,6,12,7,10,17,2,0,2,0,2,2,,,61,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,2020,Kitamba Primary School,Government,0,0,0,5,4,9,5,12,17,2,4,6,0,1,1,0,0,0,,,33,
d101,c101,s107,p143,Masindi,Buruli,Labongo,Kihonda,2020,Kilanyi Muslim Primary School,Government,0,0,0,7,8,15,4,5,9,1,7,8,1,0,1,0,2,2,,,35,
d101,c102,s111,p108,Masindi,Bujenje,Budongo,Karongo,2020,Karongo Primary School,Government,2,1,3,10,6,16,7,3,10,6,3,9,0,4,4,1,2,2,,,44,
d101,c101,s105,p137,Masindi,Buruli,Kiruli,Kibibira,2020,Kibibira Primary School,Government,0,0,0,4,2,6,6,5,11,3,0,3,1,1,2,0,0,0,,,22,
d101,c101,s109,p145,Masindi,Buruli,Miirya,Isimba,2020,Nyambindo Primary School,Government,0,0,0,4,2,6,4,3,7,1,6,7,0,0,0,0,0,0,,,20,
d101,c102,s101,p102,Masindi,Bujenje,Bikonzi,Rukondwa,2020,Kichandi Primary School,Government,0,0,0,7,5,12,6,6,12,3,6,9,1,2,3,0,0,0,,,36,
