district_id,county_id,subcounty_id,parish_id,district,county,subcounty,parish,year,level,school_name,ownership,role,gender,value
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2023,Primary,Alimugonza Primary School,Government,Deputy Head Teacher,Male,1
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2023,Primary,Alimugonza Primary School,Government,Deputy Head Teacher,Female,0
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2023,Primary,Alimugonza Primary School,Government,Education Assistant,Male,13
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2023,Primary,Alimugonza Primary School,Government,Education Assistant,Female,3
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2023,Primary,Alimugonza Primary School,Government,Head Teacher,Male,0
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2023,Primary,Alimugonza Primary School,Government,Head Teacher,Female,0
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2023,Primary,Alimugonza Primary School,Government,Senior Education Assistant,Male,0
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2023,Primary,Alimugonza Primary School,Government,Senior Education Assistant,Female,0
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2023,Primary,Bokwe Primary School,Government,Deputy Head Teacher,Male,0
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2023,Primary,Bokwe Primary School,Government,Deputy Head Teacher,Female,0
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2023,Primary,Bokwe Primary School,Government,Education Assistant,Male,5
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2023,Primary,Bokwe Primary School,Government,Education Assistant,Female,6
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2023,Primary,Bokwe Primary School,Government,Head Teacher,Male,1
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2023,Primary,Bokwe Primary School,Government,Head Teacher,Female,0
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2023,Primary,Bokwe Primary School,Government,Senior Education Assistant,Male,0
d101,c101,s107,p142,Masindi,Buruli,Labongo,Kasenyi,2023,Primary,Bokwe Primary School,Government,Senior Education Assistant,Female,0
d101,c102,s111,p107,Masindi,Bujenje,Budongo,Nyabyeya,2023,Primary,Budongo Saw Mill Primary School,Government,Deputy Head Teacher,Male,0
d101,c102,s111,p107,Masindi,Bujenje,Budongo,Nyabyeya,2023,Primary,Budongo Saw Mill Primary School,Government,Deputy Head Teacher,Female,0
d101,c102,s111,p107,Masindi,Bujenje,Budongo,Nyabyeya,2023,Primary,Budongo Saw Mill Primary School,Government,Education Assistant,Male,2
