Item,Department,Value,Last Updated,Description
Total Population,Administration,481888,2014,
Cities,Administration,0,2022,
Municipalities,Administration,1,2022,
Town councils,Administration,4,2022,
Sub-county,Administration,10,2022,
Divisions,Administration,4,2022,
Parishes,Administration,35,2022,
Wards,Administration,22,2022,
Villages,Administration,402,2022,
Number of Schools,Education,168,2022,
Pupil-Teacher Ratio in Government Primary Schools,Education,45,2022,
Pupil-Teacher Ratio in Private Primary Schools,Education,56,2022,
Student-Teacher Ratio in Government Secondary Schools,Education,51,2022,
Student-Teacher Ratio in Private Secondary Schools,Education,58,2022,
Maize Production Levels (in tons),Production,2530,2022,
Banana Production Levels (in tons),Production,6242,2022,
Cassava Production Levels (in tons),Production,1562,2022,
Number of Cattle,Production,24740,2022,
Number of Goats,Production,34215,2022,
