district_id,county_id,subcounty_id,parish_id,district,county,subcounties,parish,year,school_name,ownership,gender,s1,s2,s3,s4,s5,s6,subtotal
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2022,Pakanyi Senior Secondary School,Government,Boys,,,,,,,
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,2022,St Kizito Murro Secondary School,Private,Boys,,,,,,,
d101,c102,s111,p108,Masindi,Bujenje,Budongo,Karongo,2022,Kinyara Senior Secondary School,Government,Girls,,,,,,,
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,2022,Bwijanga Secondary School,Government,Girls,,,,,,,
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,2022,Ikoba Girls Secondary School,Government,Girls,92,83,80,70,0,0,325
d101,c101,s109,p145,Masindi,Buruli,Miirya,Isimba,2022,St Pauls Secondary School Pakanyi,Government,Girls,,,,,,,
d101,c101,s110,p157,Masindi,Buruli,Pakanyi,Kyakamese East,2022,Kiyuya Seed Secondary School,Government,Girls,,,,,,,
d101,c102,s111,p108,Masindi,Bujenje,Budongo,Karongo,2022,Kinyara High School,Private,Girls,,,,,,,
d101,c101,s106,p139,Masindi,Buruli,Kyatiri Town Council,Kyatiri East Ward,2022,Blessed Damian Secondary School,Private,Girls,,,,,,,
d101,c102,s108,p150,Masindi,Bujenje,Nyantonzi,Nyantonzi,2022,Budongo Secondary School,Private,Girls,,,,,,,
d101,c101,s103,p128,Masindi,Buruli,Kijunjubwa,Kijunjubwa,2022,Kijunjubwa Community Secondary School,Private,Girls,,,,,,,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,2022,St Joseph Senior Secondary School Kikingura,Private,Girls,,,,,,,
d101,c102,s113,p113,Masindi,Bujenje,Bwijanga,Kitamba,2022,Lampstand Comprehensive Secondary School,Private,Girls,,,,,,,
d101,,,,Masindi,,,,2022,Sacred Senior Secondary School,,Girls,,,,,,,
d101,c101,s106,p139,Masindi,Buruli,Kyatiri Town Council,Kyatiri East Ward,2022,St Marys Kyatiri Secondary School,Private,Girls,,,,,,,
d101,c101,s110,p155,Masindi,Buruli,Pakanyi,Kyakamese Central,2022,Pakanyi Senior Secondary School,Government,Girls,,,,,,,
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,2022,St Kizito Murro Secondary School,Private,Girls,,,,,,,
d101,c102,s111,p108,Masindi,Bujenje,Budongo,Karongo,2023,Kinyara Senior Secondary School,Government,Boys,,,,,,,
d101,c102,s108,p150,Masindi,Bujenje,Nyantonzi,Nyantonzi,2023,Budongo Secondary School,Private,Boys,,,,,,,
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,2023,Ikoba Girls Secondary School,Government,Boys,,,,,,,
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,2023,Bwijanga Secondary School,Government,Boys,,,,,,,
d101,c101,s109,p145,Masindi,Buruli,Miirya,Isimba,2023,St Pauls Secondary School Pakanyi,Government,Boys,,,,,,,
d101,c101,s110,p157,Masindi,Buruli,Pakanyi,Kyakamese East,2023,Kiyuya Seed Secondary School,Government,Boys,,,,,,,
d101,c102,s111,p108,Masindi,Bujenje,Budongo,Karongo,2023,Kinyara Senior Secondary School,Government,Girls,,,,,,,
d101,c102,s108,p150,Masindi,Bujenje,Nyantonzi,Nyantonzi,2023,Budongo Secondary School,Private,Girls,,,,,,,
d101,c102,s101,p101,Masindi,Bujenje,Bikonzi,Bikonzi,2023,Ikoba Girls Secondary School,Government,Girls,92,83,80,70,0,0,325
d101,c102,s113,p112,Masindi,Bujenje,Bwijanga,Kahembe,2023,Bwijanga Secondary School,Government,Girls,,,,,,,
d101,c101,s109,p145,Masindi,Buruli,Miirya,Isimba,2023,St Pauls Secondary School Pakanyi,Government,Girls,,,,,,,
d101,c101,s110,p157,Masindi,Buruli,Pakanyi,Kyakamese East,2023,Kiyuya Seed Secondary School,Government,Girls,,,,,,,
