subcounty,parish,year,school_name,ownership,divi_male,divi_female,divi_total,divii_male,divii_female,divii_total,diviii_male,diviii_female,diviii_total,diviv_male,diviv_female,diviv_total,divu_male,divu_female,divu_total,divx_male,divx_female,divx_total,absentees,total_registered,total_sat,best_aggregates
Bwijanga,,2019,Bulima Primary School,Government,6,0,6,24,29,53,6,7,13,2,3,5,0,1,1,0,0,0,,,78,
Bikonzi,Rukondwa,2019,Kiina Primary School,Government,1,1,2,16,12,28,5,2,7,1,2,3,0,0,0,0,0,0,,,40,
Labongo,Labongo,2019,Kilanyi Muslim Primary School,Government,2,1,3,21,21,42,3,8,11,5,0,5,0,0,0,0,0,0,,,61,
Bikonzi,,2019,Kichandi Primary School,Government,0,0,0,8,6,14,2,2,4,0,1,1,0,0,0,0,0,0,,,19,
Bwijanga,,2019,Alinda Primary School,Private,1,1,2,5,4,9,1,1,2,0,1,1,0,1,1,0,0,0,,,15,
Miirya,Kigulya,2019,Kinumi Primary School,Government,1,0,1,21,22,43,2,7,9,2,3,5,0,1,1,0,0,0,,,59,
Kimengo,,2019,Kijunjubwa Primary School,Government,10,4,14,25,24,49,9,12,21,2,4,6,1,3,4,2,0,2,,,96,
Bikonzi,Rukondwa,2019,Kitonozi Primary School,Government,0,0,0,8,13,21,7,8,15,1,0,1,0,0,0,0,0,0,,,37,
Miirya,Isimba,2019,Kyabaswa Primary School,Government,0,0,0,6,11,17,1,4,5,1,1,2,0,0,0,1,0,1,,,25,
Bwijanga,Kitamba,2019,Isimba Primary School,Government,0,0,0,6,7,13,2,3,5,0,1,1,0,0,0,0,1,1,,,20,
Nyantonzi,Nyantonzi,2019,Nyantonzi Primary School,Government,1,0,1,7,7,14,1,3,4,1,0,1,0,0,0,0,2,2,,,22,
Labongo,Kihaguzi,2019,Bokwe Primary School,Government,0,0,0,18,14,32,5,8,13,1,1,2,0,3,3,0,0,0,,,50,
Bwijanga,Kitamba,2019,Kikingura Primary School,Government,3,0,3,33,30,63,7,17,24,3,3,6,0,2,2,5,0,5,,,103,
Kyatiri Town Counci,,2019,Nyakatoogo Primary School,Government,2,0,2,6,5,11,0,3,3,0,0,0,1,0,1,1,1,2,,,19,
Kyatiri Town Counci,Kyatiri,2019,Nyambindo Primary School,Government,0,0,0,7,7,14,5,4,9,0,1,1,0,0,0,1,0,1,,,25,
Pakanyi,Kyakamese,2019,Waiga Primary School,Government,0,0,0,14,5,19,8,5,13,1,1,2,0,0,0,0,1,1,,,35,
Bwijanga,Kitamba,2019,Kitamba Primary School,Government,0,0,0,3,10,13,2,3,5,1,1,2,1,0,1,0,0,0,,,21,
Miirya,Bigando,2019,Kahaara Primary School,Government,0,0,0,13,2,15,2,6,8,2,0,2,0,0,0,0,1,1,,,26,
Nyantonzi,Nyantonzi,2019,Siiba Primary School,Government,0,0,0,10,12,22,7,5,12,1,3,4,0,0,0,0,1,1,,,39,
Miirya,Kigulya,2019,Kijogoro Primary School,Government,0,0,0,8,9,17,5,10,15,1,1,2,0,1,1,0,0,0,,,35,
Kimengo,,2019,Kimengo Primary School,Government,6,0,6,32,41,73,11,18,29,4,10,14,1,6,7,3,2,5,,,134,
Pakanyi,,2019,Kyatiri Primary School,Government,0,0,0,42,19,61,20,25,45,6,7,13,3,1,4,1,0,1,,,124,
Budongo,Nyabyeya,2019,Karongo Primary School,Government,1,1,2,16,25,41,11,13,24,4,4,8,0,3,3,4,1,5,,,83,
Pakanyi,Kyakamese,2019,Karungi Primary School,Government,1,0,1,7,5,12,7,2,9,1,1,2,3,0,3,0,0,0,,,27,
Bikonzi,,2019,Kihoole Primary School,Government,0,0,0,8,11,19,1,4,5,3,1,4,3,0,3,1,0,1,,,32,
Budongo,Kasongoire,2019,Kasongoire Primary School,Government,0,0,0,2,9,11,1,1,2,4,1,5,0,1,1,0,0,0,,,19,
Bwijanga,Kitamba,2019,Miramura Primary School,Government,1,0,1,13,15,28,5,10,15,5,4,9,4,1,5,0,0,0,,,58,
Labongo,Labongo,2019,Kilanyi Primary School,Government,0,1,1,15,5,20,9,8,17,3,6,9,1,1,2,0,0,0,,,49,
Bwijanga,Kahembe,2019,St. Kizito Murro Primary School,Government,0,0,0,4,6,10,3,7,10,0,1,1,3,0,3,0,0,0,,,24,
Bikonzi,Rukondwa,2019,Rukondwa Primary School,Government,0,0,0,4,5,9,5,7,12,0,4,4,1,0,1,0,0,0,,,26,
Kijunjubwa,Kijunjubwa,2019,Miduuma Primary School,Government,1,0,1,13,13,26,3,4,7,5,9,14,2,2,4,0,0,0,,,52,
Kyatiri Town Counci,,2019,Kisindizi II Primary School,Government,0,0,0,13,3,16,6,0,6,4,1,5,1,3,4,0,0,0,,,31,
Pakanyi,Kyakamese,2019,Alimugonza Primary School,Government,0,0,0,10,2,12,6,2,8,3,0,3,1,3,4,0,0,0,,,27,
Bwijanga,Kahembe,2019,Murro Primary School,Government,0,0,0,3,5,8,0,7,7,2,4,6,0,1,1,0,0,0,,,22,
Bulima Town Counci,Kahembe ward,2019,Kisalizi Primary School,Government,0,1,1,13,16,29,2,12,14,3,4,7,3,1,4,2,6,8,,,63,
Nyantonzi,Kimanya,2019,Kimanya Primary School,Government,0,0,0,5,2,7,7,10,17,1,2,3,1,0,1,1,0,1,,,29,
Labongo,Labongo,2019,Nyakyanika Primary School,Government,0,0,0,13,2,15,3,2,5,5,4,9,1,1,2,1,1,2,,,33,
Bikonzi,,2019,Kinywamurara Primary School,Government,0,0,0,4,5,9,4,2,6,3,4,7,0,1,1,1,0,1,,,24,
Bwijanga,Kitamba,2019,Mihembero Primary School,Government,2,0,2,8,9,17,10,16,26,4,6,10,0,8,8,0,1,1,,,64,
Bulima Town Counci,Kahembe ward,2019,Marongo Primary School,Government,2,0,2,17,16,33,11,8,19,3,7,10,4,13,17,0,1,1,,,82,
Miirya,Kigulya,2019,Kigezi Primary School,Government,0,0,0,6,3,9,5,10,15,0,3,3,2,3,5,0,0,0,,,32,
Bwijanga,Ntoma,2019,Kihagani Primary School,Government,1,0,1,15,11,26,1,7,8,2,3,5,3,9,12,1,2,3,,,55,
Pakanyi,Kyakamese,2019,Kiyuya Primary School,Government,0,0,0,9,14,23,11,4,15,5,4,9,2,11,13,1,0,1,,,61,
Miirya,Kigulya,2019,Kitwetwe Primary School,Government,1,0,1,7,8,15,4,6,10,3,1,4,5,7,12,0,0,0,,,42,
Kiruli,Kibibira,2019,Kibibira Primary School,Government,0,0,0,4,2,6,6,1,7,3,3,6,1,1,2,1,0,1,,,22,
Nyantonzi,Kasenene,2019,Kasenene Primary School,Government,0,0,0,12,5,17,9,9,18,7,4,11,3,5,8,3,0,3,,,57,
Bikonzi,Kikube,2019,Kikuube Primary School,Government,0,0,0,3,5,8,5,6,11,4,0,4,2,2,4,1,2,3,,,30,
Bikonzi,,2019,Ikoba Boys Primary School,Government,0,0,0,7,0,7,7,0,7,4,0,4,6,0,6,0,0,0,,,24,
Kiruli,Kiruli,2019,Nyakarongo Primary School,Government,0,0,0,5,2,7,3,4,7,0,3,3,5,3,8,0,0,0,,,25,
Budongo,Nyabyeya,2019,Budongo Saw Mill Primary School,Government,0,0,0,2,4,6,4,6,10,4,5,9,2,2,4,1,1,2,,,31,
Bikonzi,,2019,Ikoba Girls Primary School,Government,0,0,0,0,2,2,0,11,11,0,3,3,0,4,4,0,1,1,,,21,
Labongo,Kihaguzi,2019,Kibamba Primary School,Government,0,0,0,4,0,4,8,4,12,7,2,9,0,5,5,1,0,1,,,31,
Nyantonzi,Nyantonzi,2019,Rwempisi Primary School,Government,0,0,0,5,1,6,9,11,20,7,3,10,4,4,8,2,1,3,,,47,
Miirya,Bigando,2019,Kibbali Primary School,Government,0,0,0,4,2,6,4,4,8,2,3,5,3,5,8,1,0,1,,,28,
Pakanyi,Kyakamese,2019,Kisindizi Public Primary School,Government,0,0,0,5,4,9,2,5,7,6,7,13,1,4,5,5,0,5,,,39,
Bikonzi,,2019,Masindi Centre for the Handicapped,Government,0,0,0,0,0,0,1,2,3,2,5,7,0,0,0,1,0,1,,,11,
Nyantonzi,Nyantonzi,2019,Kimanya Upper Primary School,Government,0,0,0,2,2,4,3,0,3,2,1,3,8,0,8,0,0,0,,,18,
Bwijanga,Kitamba,2019,Byerima Primary School,Government,0,0,0,0,1,1,2,3,5,5,2,7,3,4,7,0,0,0,,,20,
Kimengo,Kimengo,2019,Kayera Primary School,Government,0,0,0,0,1,1,0,4,4,3,2,5,4,2,6,0,0,0,,,16,
Bwijanga,Ntoma,2019,Ntooma Primary School,Government,,,,,,,,,,,,,,,,,,,,,0,
Miirya,Isimba,2018,Walyoba Brilliant Primary School,Private,16,5,21,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,,,30,
Kabango Town Counci,Kinyara ward,2018,Kinyara Sugar Works Primary School,Government,45,15,60,36,45,81,0,1,1,0,0,0,0,0,0,,0,0,,,142,
Bwijanga,Ntoma,2018,Jowate Junior School,Private,1,1,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,,,7,
Budongo,Kabango,2018,Ebenezer Christian School,Private,2,1,3,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,,,13,
,,2018,Jerusalem Primary School,,4,7,11,7,7,14,1,0,1,0,2,2,0,0,0,0,0,0,,,28,
Bulima Town Counci,Kahembe ward,2018,Bulima Valley Primary School,Private,6,1,7,17,14,31,0,0,0,0,0,0,0,0,0,0,0,0,,,38,
Bwijanga,Ntoma,2018,Ntooma Modern Primary School,Private,1,0,1,10,6,16,0,0,0,0,0,0,0,0,0,0,0,0,,,17,
Bwijanga,Kahembe,2018,New Hope Primary School,Private,1,1,2,9,7,16,1,0,1,0,0,0,0,0,0,0,0,0,,,19,
Kimengo,,2018,Arise and Prosper Primary School,Private,4,2,6,19,21,40,0,2,2,0,1,1,0,0,0,0,0,0,,,49,
,,2018,Kayera Parents Primary School,,2,0,2,12,12,24,0,1,1,0,0,0,0,0,0,0,0,0,,,27,
Bikonzi,,2018,Isagara Primary School,Government,1,0,1,14,18,32,0,0,0,0,0,0,0,0,0,0,0,0,,,33,
Bwijanga,,2018,Bulima Primary School,Government,0,1,1,28,32,60,1,0,1,0,0,0,0,0,0,0,0,0,,,62,
Labongo,Kihaguzi,2018,Bokwe Primary School,Government,0,1,1,9,19,28,1,0,1,0,0,0,0,0,0,0,0,0,,,30,
Bwijanga,Kitamba,2018,Kikingura Bright Junior School,Private,2,1,3,10,28,38,2,1,3,0,0,0,0,0,0,0,0,0,,,44,
Bwijanga,Kitamba,2018,Kikingura Progressive Primary School,Private,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,,,7,
,,2018,Day Star Primary School,,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,,,7,
Bwijanga,Kahembe,2018,Sunlight Primary School,Private,4,0,4,8,11,19,0,3,3,0,1,1,0,0,0,0,0,0,,,27,
Labongo,Labongo,2018,Kilanyi Muslim Primary School,Government,0,0,0,9,10,19,1,0,1,0,0,0,0,0,0,0,0,0,,,20,
Kabango Town Counci,Kabango ward,2018,Kabango Primary School,Government,5,2,7,39,45,84,3,2,5,0,1,1,1,0,1,0,1,1,,,99,
Pakanyi,,2018,Blessed Damian Primary School,Private,4,0,4,14,21,35,0,0,0,1,1,2,0,0,0,0,1,1,,,42,
Pakanyi,Kyakamese,2018,Cornerstone Infant Development School,,1,0,1,2,5,7,0,2,2,0,0,0,0,0,0,0,0,0,,,10,
Pakanyi,Kyakamese,2018,Rutindo Primary School,Private,0,1,1,5,8,13,1,2,3,0,0,0,0,0,0,0,0,0,,,17,
Kyatiri Town Counci,Kyatiri,2018,Nyambindo Primary School,Government,0,0,0,11,6,17,1,0,1,0,1,1,0,0,0,0,0,0,,,19,
Budongo,Nyabyeya,2018,Nyabyeya Primary School,Government,3,1,4,28,20,48,6,4,10,2,1,3,0,0,0,0,0,0,,,65,
Miirya,Kigulya,2018,Kinumi Primary School,Government,3,0,3,21,24,45,3,6,9,1,2,3,0,0,0,0,0,0,,,60,
Bwijanga,,2018,Lordwill Primary School,Private,0,0,0,6,6,12,1,0,1,0,1,1,0,0,0,0,0,0,,,14,
Bikonzi,Rukondwa,2018,Kiina Primary School,Government,0,0,0,16,9,25,0,4,4,0,0,0,0,1,1,0,0,0,,,30,
Pakanyi,,2018,God's Will Primary School,Private,0,0,0,11,13,24,0,5,5,0,1,1,0,0,0,0,0,0,,,30,
Kimengo,Miduuma,2018,God's Mercy Primary School,Private,0,0,0,7,6,13,1,1,2,0,1,1,0,0,0,0,0,0,,,16,
,,2018,St. Mathews Primary School,,0,0,0,6,2,8,1,2,3,0,0,0,0,0,0,0,0,0,,,11,
Labongo,Labongo,2018,Walyoba Primary School,Government,0,0,0,21,22,43,3,4,7,1,3,4,0,0,0,0,0,0,,,54,
Miirya,Bigando,2018,Kinuuma Primary School,Government,0,0,0,8,22,30,1,6,7,0,2,2,0,0,0,0,0,0,,,39,
,,2018,Kiroya Christian Primary School,,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,1,1,,,10,
Budongo,Kabango,2018,Top Care Primary School,Private,0,0,0,7,9,16,1,0,1,0,1,1,0,0,0,0,1,1,,,19,
,,2018,Good Hope Primary School,,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,,,3,
,,2018,Omwigulu Primary School,,0,0,0,5,2,7,0,1,1,0,1,1,0,0,0,0,0,0,,,9,
Miirya,Isimba,2018,St. Paul Primary School Pakanyi,Government,0,1,1,12,13,25,3,7,10,1,1,2,0,0,0,0,0,0,,,38,
Kyatiri Town Counci,,2018,Kisindizi II Primary School,Government,0,0,0,8,4,12,2,3,5,0,1,1,0,0,0,0,0,0,,,18,
Kimengo,,2018,Kijunjubwa Primary School,Government,2,1,3,9,9,18,1,4,5,0,2,2,0,0,0,2,0,2,,,30,
Bikonzi,Rukondwa,2018,Kitonozi Primary School,Government,1,0,1,13,8,21,2,4,6,1,3,4,0,0,0,0,0,0,,,32,
Bikonzi,,2018,Kichandi Primary School,Government,0,0,0,13,11,24,2,5,7,1,1,2,0,1,1,0,0,0,,,34,
Bwijanga,Kitamba,2018,Kikingura Primary School,Government,0,0,0,14,7,21,0,6,6,2,0,2,0,0,0,0,1,1,,,30,
Pakanyi,,2018,Kyatiri Primary School,Government,0,0,0,20,15,35,2,7,9,2,3,5,0,1,1,0,0,0,,,50,
Bwijanga,Kitamba,2018,Miramura Primary School,Government,0,0,0,5,11,16,1,4,5,0,3,3,0,0,0,0,0,0,,,24,
,,2018,Marongo Mother Care Primary School,,0,0,0,4,6,10,1,2,3,1,1,2,0,0,0,0,0,0,,,15,
Budongo,Kasongoire,2018,Kasongoire Primary School,Government,0,0,0,7,7,14,0,1,1,3,0,3,0,1,1,0,0,0,,,19,
Miirya,Bigando,2018,Kahaara Primary School,Government,0,0,0,6,5,11,4,6,10,0,1,1,0,0,0,0,0,0,,,22,
Kimengo,Kimengo,2018,Kayera Primary School,Government,0,0,0,10,10,20,2,1,3,0,0,0,1,1,2,2,0,2,,,27,
Bwijanga,Ntoma,2018,Ntooma Primary School,Government,1,0,1,12,13,25,4,7,11,2,4,6,0,0,1,0,0,0,,,44,
Kijunjubwa,Kijunjubwa,2018,Miduuma Primary School,Government,1,0,1,4,1,5,3,2,5,2,0,2,0,0,0,0,0,0,,,13,
